"Acceleration (m/s^2): (-5.669,3.425,2.974)"
"Magnetometer (gauss): (-0.639,-0.371,-0.764)"
"Gyroscope (degrees/sec): (29.680,18.576,-142.013)"
Temperature: 24.500C
"Acceleration (m/s^2): (-5.981,3.401,3.279)"
"Magnetometer (gauss): (-0.639,-0.371,-0.764)"
"Gyroscope (degrees/sec): (-60.270,-12.119,-24.605)"
Temperature: 24.500C
"Acceleration (m/s^2): (-8.779,4.286,1.384)"
"Magnetometer (gauss): (-0.639,-0.371,-0.764)"
"Gyroscope (degrees/sec): (-176.033,-51.818,281.181)"
Temperature: 20.500C
"Acceleration (m/s^2): (-8.537,3.540,-2.942)"
"Magnetometer (gauss): (-0.639,-0.371,-0.764)"
"Gyroscope (degrees/sec): (111.633,40.241,-184.765)"
Temperature: 24.500C
"Acceleration (m/s^2): (-8.261,3.854,-3.274)"
"Magnetometer (gauss): (-0.639,-0.371,-0.764)"
"Gyroscope (degrees/sec): (5.968,1.321,-26.399)"
Temperature: 24.500C
"Acceleration (m/s^2): (-8.293,3.761,-3.311)"
"Magnetometer (gauss): (-0.639,-0.371,-0.764)"
"Gyroscope (degrees/sec): (-2.126,-0.044,-2.704)"
Temperature: 24.500C
"Acceleration (m/s^2): (-8.337,3.712,-3.278)"
"Magnetometer (gauss): (-0.639,-0.371,-0.764)"
"Gyroscope (degrees/sec): (-6.598,0.446,-1.321)"
Temperature: 24.500C
"Acceleration (m/s^2): (-8.359,3.689,-3.257)"
"Magnetometer (gauss): (-0.644,-0.377,-0.758)"
"Gyroscope (degrees/sec): (-5.714,1.068,-0.341)"
Temperature: 25.500C
"Acceleration (m/s^2): (-8.340,3.656,-3.281)"
"Magnetometer (gauss): (-0.644,-0.377,-0.758)"
"Gyroscope (degrees/sec): (-6.790,1.855,0.989)"
Temperature: 25.500C
"Acceleration (m/s^2): (-8.356,3.663,-3.275)"
"Magnetometer (gauss): (-0.644,-0.377,-0.758)"
"Gyroscope (degrees/sec): (-8.111,2.581,1.803)"
Temperature: 25.500C
"Acceleration (m/s^2): (-8.395,3.642,-3.213)"
"Magnetometer (gauss): (-0.644,-0.377,-0.758)"
"Gyroscope (degrees/sec): (-8.715,2.844,2.083)"
Temperature: 25.500C
"Acceleration (m/s^2): (-8.383,3.666,-3.286)"
"Magnetometer (gauss): (-0.644,-0.377,-0.758)"
"Gyroscope (degrees/sec): (-9.511,3.526,3.369)"
Temperature: 25.500C
"Acceleration (m/s^2): (-8.346,3.712,-3.263)"
"Magnetometer (gauss): (-0.644,-0.377,-0.758)"
"Gyroscope (degrees/sec): (-9.721,3.999,4.270)"
Temperature: 24.500C
"Acceleration (m/s^2): (-8.322,3.759,-3.273)"
"Magnetometer (gauss): (-0.632,-0.382,-0.764)"
"Gyroscope (degrees/sec): (-10.028,4.340,4.629)"
Temperature: 24.500C
"Acceleration (m/s^2): (-8.331,3.800,-3.219)"
"Magnetometer (gauss): (-0.632,-0.382,-0.764)"
"Gyroscope (degrees/sec): (-10.028,4.533,4.769)"
Temperature: 24.500C
"Acceleration (m/s^2): (-8.349,3.818,-3.036)"
"Magnetometer (gauss): (-0.632,-0.382,-0.764)"
"Gyroscope (degrees/sec): (-9.599,4.393,4.865)"
Temperature: 24.500C
"Acceleration (m/s^2): (-8.332,3.865,-3.090)"
"Magnetometer (gauss): (-0.632,-0.382,-0.764)"
"Gyroscope (degrees/sec): (-8.908,4.086,4.655)"
Temperature: 25.500C
"Acceleration (m/s^2): (-8.276,3.906,-3.075)"
"Magnetometer (gauss): (-0.632,-0.382,-0.764)"
"Gyroscope (degrees/sec): (-7.350,3.736,4.270)"
Temperature: 25.500C
"Acceleration (m/s^2): (-8.171,3.898,-3.080)"
"Magnetometer (gauss): (-0.632,-0.382,-0.764)"
"Gyroscope (degrees/sec): (-6.204,3.745,3.973)"
Temperature: 25.500C
"Acceleration (m/s^2): (-8.163,3.945,-3.133)"
"Magnetometer (gauss): (-0.632,-0.382,-0.764)"
"Gyroscope (degrees/sec): (-4.760,3.579,3.325)"
Temperature: 25.500C
