DEV = 88:c6:26:8e:c9:cd RSSI = -45
Acceleration (m/s^2): (0.449,1.995,-9.508)
Magnetometer (gauss): (0.781,-0.267,0.222)
Gyroscope (degrees/sec): (21.744,-7.700,3.456)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -51
Acceleration (m/s^2): (2.007,5.506,-8.046)
Magnetometer (gauss): (0.879,-0.366,0.052)
Gyroscope (degrees/sec): (4.008,3.631,-13.956)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -72
Acceleration (m/s^2): (2.002,5.689,-8.133)
Magnetometer (gauss): (0.875,-0.360,0.081)
Gyroscope (degrees/sec): (0.945,-3.903,6.764)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -51
Acceleration (m/s^2): (1.020,4.299,-8.727)
Magnetometer (gauss): (0.808,-0.324,0.142)
Gyroscope (degrees/sec): (-9.984,-1.138,9.161)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -47
Acceleration (m/s^2): (-0.765,1.051,-10.212)
Magnetometer (gauss): (0.715,-0.205,0.229)
Gyroscope (degrees/sec): (-3.448,5.145,0.639)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -42
Acceleration (m/s^2): (1.345,2.496,-9.911)
Magnetometer (gauss): (0.821,-0.261,0.197)
Gyroscope (degrees/sec): (18.725,-3.159,-6.458)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -51
Acceleration (m/s^2): (2.070,3.544,-9.238)
Magnetometer (gauss): (0.886,-0.290,0.151)
Gyroscope (degrees/sec): (0.464,4.209,-7.998)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -57
Acceleration (m/s^2): (1.713,2.176,-9.060)
Magnetometer (gauss): (0.843,-0.269,0.196)
Gyroscope (degrees/sec): (-4.016,-0.490,17.614)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -37
Acceleration (m/s^2): (-1.068,1.528,-9.761)
Magnetometer (gauss): (0.728,-0.243,0.220)
Gyroscope (degrees/sec): (-4.813,19.303,1.033)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -38
Acceleration (m/s^2): (0.793,1.725,-10.047)
Magnetometer (gauss): (0.794,-0.235,0.225)
Gyroscope (degrees/sec): (8.776,-8.943,-15.199)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -51
Acceleration (m/s^2): (2.078,2.542,-9.053)
Magnetometer (gauss): (0.886,-0.274,0.160)
Gyroscope (degrees/sec): (-2.791,5.303,-27.466)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -58
Acceleration (m/s^2): (2.375,2.462,-9.019)
Magnetometer (gauss): (0.868,-0.281,0.185)
Gyroscope (degrees/sec): (-4.454,-2.783,10.614)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -42
Acceleration (m/s^2): (-0.638,2.730,-9.657)
Magnetometer (gauss): (0.715,-0.265,0.199)
