Acceleration (m/s^2): (-1.022,0.322,-9.667)
Magnetometer (gauss): (1.006,-0.090,0.350)
Gyroscope (degrees/sec): (-81.410,-64.864,250.451)
Temperature: 24.500C
Acceleration (m/s^2): (-3.300,1.082,-16.966)
Magnetometer (gauss): (1.006,-0.090,0.350)
Gyroscope (degrees/sec): (51.048,24.211,63.481)
Temperature: 24.500C
Acceleration (m/s^2): (-0.227,0.149,-12.855)
Magnetometer (gauss): (1.006,-0.090,0.350)
Gyroscope (degrees/sec): (179.848,69.536,-198.485)
Temperature: 24.500C
Acceleration (m/s^2): (1.653,-0.464,-3.264)
Magnetometer (gauss): (1.006,-0.090,0.350)
Gyroscope (degrees/sec): (-102.996,-34.396,265.186)
Temperature: 24.500C
Acceleration (m/s^2): (-0.760,0.251,-9.682)
Magnetometer (gauss): (1.006,-0.090,0.350)
Gyroscope (degrees/sec): (-29.418,-10.273,39.314)
Temperature: 24.500C
Acceleration (m/s^2): (-0.745,0.278,-9.662)
Magnetometer (gauss): (1.006,-0.090,0.350)
Gyroscope (degrees/sec): (0.779,-5.478,4.760)
Temperature: 24.500C
Acceleration (m/s^2): (-0.687,0.279,-9.651)
Magnetometer (gauss): (1.006,-0.090,0.350)
Gyroscope (degrees/sec): (2.826,-4.043,0.158)
Temperature: 24.500C
Acceleration (m/s^2): (-0.644,0.307,-9.668)
Magnetometer (gauss): (1.008,-0.095,0.348)
Gyroscope (degrees/sec): (3.596,-3.474,-0.779)
Temperature: 24.500C
Acceleration (m/s^2): (-0.677,0.317,-9.717)
Magnetometer (gauss): (1.008,-0.095,0.348)
Gyroscope (degrees/sec): (4.323,-2.791,-0.691)
Temperature: 24.500C
Acceleration (m/s^2): (-0.644,0.316,-9.730)
Magnetometer (gauss): (1.008,-0.095,0.348)
Gyroscope (degrees/sec): (5.084,-2.616,-0.630)
Temperature: 24.500C
Acceleration (m/s^2): (-0.687,0.302,-9.758)
Magnetometer (gauss): (1.008,-0.095,0.348)
Gyroscope (degrees/sec): (5.653,-2.406,-0.665)
Temperature: 24.500C
Acceleration (m/s^2): (-0.698,0.322,-9.849)
Magnetometer (gauss): (1.008,-0.095,0.348)
Gyroscope (degrees/sec): (5.924,-2.126,-0.595)
Temperature: 24.500C
Acceleration (m/s^2): (-0.742,0.333,-9.946)
Magnetometer (gauss): (1.008,-0.095,0.348)
Gyroscope (degrees/sec): (6.256,-1.549,-0.446)
Temperature: 24.500C
Acceleration (m/s^2): (-0.733,0.352,-9.846)
Magnetometer (gauss): (1.008,-0.095,0.348)
Gyroscope (degrees/sec): (6.860,-1.706,-0.551)
Temperature: 24.500C
Acceleration (m/s^2): (-0.744,0.349,-10.013)
Magnetometer (gauss): (1.009,-0.095,0.341)
Gyroscope (degrees/sec): (8.418,-2.975,-1.190)
Temperature: 24.500C
Acceleration (m/s^2): (-0.744,0.419,-10.087)
Magnetometer (gauss): (1.009,-0.095,0.341)
Gyroscope (degrees/sec): (7.788,-3.255,-1.050)
Temperature: 24.500C
Acceleration (m/s^2): (-0.784,0.416,-10.150)
Magnetometer (gauss): (1.009,-0.095,0.341)
Gyroscope (degrees/sec): (7.228,-3.719,-1.068)
Temperature: 24.500C
Acceleration (m/s^2): (-0.808,0.447,-10.181)
Magnetometer (gauss): (1.009,-0.095,0.341)
Gyroscope (degrees/sec): (6.965,-4.489,-1.076)
Temperature: 24.500C
Acceleration (m/s^2): (-0.784,0.469,-10.163)
Magnetometer (gauss): (1.009,-0.095,0.341)
Gyroscope (degrees/sec): (6.589,-4.979,-1.461)
Temperature: 24.500C
Acceleration (m/s^2): (-0.854,0.485,-10.132)
Magnetometer (gauss): (1.009,-0.095,0.341)
Gyroscope (degrees/sec): (6.361,-5.661,-1.426)
Temperature: 24.500C
Acceleration (m/s^2): (-0.824,0.495,-10.151)
Magnetometer (gauss): (1.009,-0.095,0.341)
