DEV = 88:c6:26:8e:c9:cd RSSI = -43
Acceleration (m/s^2): (-0.825,2.771,-9.241)
Magnetometer (gauss): (0.726,-0.282,0.178)
Gyroscope (degrees/sec): (37.958,-11.629,2.905)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -40
Acceleration (m/s^2): (1.056,8.633,-4.287)
Magnetometer (gauss): (0.770,-0.401,-0.070)
Gyroscope (degrees/sec): (37.861,-10.579,6.615)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -28
Acceleration (m/s^2): (0.744,9.902,-1.302)
Magnetometer (gauss): (1.192,-0.147,0.056)
Gyroscope (degrees/sec): (-5.626,-6.720,-1.855)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -28
Acceleration (m/s^2): (0.282,9.349,-2.514)
Magnetometer (gauss): (0.753,-0.389,-0.119)
Gyroscope (degrees/sec): (-13.116,8.846,6.484)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -50
Acceleration (m/s^2): (1.268,4.093,-9.350)
Magnetometer (gauss): (0.791,-0.315,0.144)
Gyroscope (degrees/sec): (-21.936,2.284,-3.605)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -45
Acceleration (m/s^2): (1.162,-0.306,-9.830)
Magnetometer (gauss): (0.791,-0.192,0.234)
Gyroscope (degrees/sec): (10.080,-30.896,0.823)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -41
Acceleration (m/s^2): (0.171,0.047,-9.932)
Magnetometer (gauss): (0.772,-0.198,0.247)
Gyroscope (degrees/sec): (8.199,-7.499,-12.635)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -54
Acceleration (m/s^2): (1.145,0.815,-10.106)
Magnetometer (gauss): (0.808,-0.207,0.220)
Gyroscope (degrees/sec): (8.671,-8.470,6.545)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -45
Acceleration (m/s^2): (0.698,6.315,-7.533)
Magnetometer (gauss): (0.774,-0.361,0.064)
Gyroscope (degrees/sec): (19.513,-4.760,7.105)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -35
Acceleration (m/s^2): (0.230,9.654,-1.331)
Magnetometer (gauss): (0.166,-0.115,0.387)
Gyroscope (degrees/sec): (21.263,3.876,-0.053)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -36
Acceleration (m/s^2): (-0.687,9.385,-3.105)
Magnetometer (gauss): (0.661,-0.399,-0.049)
Gyroscope (degrees/sec): (-36.488,1.540,14.534)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -54
Acceleration (m/s^2): (-0.913,2.943,-9.371)
Magnetometer (gauss): (0.768,-0.326,0.168)
Gyroscope (degrees/sec): (-16.048,4.296,-3.176)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -48
Acceleration (m/s^2): (-2.799,1.019,-9.306)
Magnetometer (gauss): (0.727,-0.257,0.223)
Gyroscope (degrees/sec): (-9.546,-1.321,1.558)
Temperature: 24.500C
DEV = 88:c6:26:8e:c9:cd RSSI = -50
Acceleration (m/s^2): (-1.214,0.706,-10.083)
Magnetometer (gauss): (0.765,-0.242,0.236)
