"Acceleration (m/s^2): (-4.102,7.527,-5.929)"
"Magnetometer (gauss): (-0.507,-0.527,-0.647)"
"Gyroscope (degrees/sec): (-27.615,-66.491,278.101)"
Temperature: 21.500C
"Acceleration (m/s^2): (-4.400,7.582,-6.691)"
"Magnetometer (gauss): (-0.507,-0.527,-0.647)"
"Gyroscope (degrees/sec): (57.006,26.565,286.676)"
Temperature: 21.500C
"Acceleration (m/s^2): (-5.608,8.115,-10.397)"
"Magnetometer (gauss): (-0.507,-0.527,-0.647)"
"Gyroscope (degrees/sec): (136.894,53.060,-99.855)"
Temperature: 21.500C
"Acceleration (m/s^2): (-2.850,7.273,-5.182)"
"Magnetometer (gauss): (-0.507,-0.527,-0.647)"
"Gyroscope (degrees/sec): (-66.850,-24.500,86.564)"
Temperature: 22.500C
"Acceleration (m/s^2): (-3.917,7.567,-5.776)"
"Magnetometer (gauss): (-0.507,-0.527,-0.647)"
"Gyroscope (degrees/sec): (3.876,-3.579,4.673)"
Temperature: 22.500C
"Acceleration (m/s^2): (-3.796,7.655,-5.664)"
"Magnetometer (gauss): (-0.507,-0.527,-0.647)"
"Gyroscope (degrees/sec): (12.066,-2.433,-0.481)"
Temperature: 22.500C
"Acceleration (m/s^2): (-3.793,7.624,-5.739)"
"Magnetometer (gauss): (-0.507,-0.527,-0.647)"
"Gyroscope (degrees/sec): (11.611,-1.374,-1.278)"
Temperature: 22.500C
"Acceleration (m/s^2): (-3.735,7.625,-5.693)"
"Magnetometer (gauss): (-0.496,-0.525,-0.640)"
"Gyroscope (degrees/sec): (9.844,-0.551,-1.164)"
Temperature: 22.500C
"Acceleration (m/s^2): (-3.703,7.693,-5.545)"
"Magnetometer (gauss): (-0.496,-0.525,-0.640)"
"Gyroscope (degrees/sec): (8.636,-0.193,-1.024)"
Temperature: 22.500C
"Acceleration (m/s^2): (-3.698,7.691,-5.609)"
"Magnetometer (gauss): (-0.496,-0.525,-0.640)"
"Gyroscope (degrees/sec): (7.131,0.595,-1.269)"
Temperature: 22.500C
"Acceleration (m/s^2): (-3.654,7.672,-5.452)"
"Magnetometer (gauss): (-0.496,-0.525,-0.640)"
"Gyroscope (degrees/sec): (6.221,1.181,-1.689)"
Temperature: 22.500C
"Acceleration (m/s^2): (-3.638,7.686,-5.466)"
"Magnetometer (gauss): (-0.496,-0.525,-0.640)"
"Gyroscope (degrees/sec): (5.670,1.566,-1.908)"
Temperature: 22.500C
"Acceleration (m/s^2): (-3.636,7.682,-5.438)"
"Magnetometer (gauss): (-0.496,-0.525,-0.640)"
"Gyroscope (degrees/sec): (4.830,2.284,-2.468)"
Temperature: 22.500C
"Acceleration (m/s^2): (-3.617,7.699,-5.399)"
"Magnetometer (gauss): (-0.496,-0.525,-0.640)"
"Gyroscope (degrees/sec): (5.653,2.013,-3.745)"
Temperature: 22.500C
"Acceleration (m/s^2): (-3.607,7.704,-5.371)"
"Magnetometer (gauss): (-0.503,-0.520,-0.650)"
