"Acceleration (m/s^2): (-2.082,0.609,-11.620)"
"Magnetometer (gauss): (0.969,-0.100,0.422)"
"Gyroscope (degrees/sec): (156.476,-34.335,258.344)"
Temperature: 25.500C
"Acceleration (m/s^2): (-3.367,1.014,-15.080)"
"Magnetometer (gauss): (0.969,-0.100,0.422)"
"Gyroscope (degrees/sec): (-48.213,-3.675,166.530)"
Temperature: 25.500C
"Acceleration (m/s^2): (-0.955,1.218,-16.044)"
"Magnetometer (gauss): (0.969,-0.100,0.422)"
"Gyroscope (degrees/sec): (231.796,85.383,-26.871)"
Temperature: 20.500C
"Acceleration (m/s^2): (-1.056,0.294,-8.371)"
"Magnetometer (gauss): (0.969,-0.100,0.422)"
"Gyroscope (degrees/sec): (-130.043,-16.301,174.029)"
Temperature: 25.500C
"Acceleration (m/s^2): (-1.200,0.301,-9.421)"
"Magnetometer (gauss): (0.969,-0.100,0.422)"
"Gyroscope (degrees/sec): (-5.548,5.101,24.308)"
Temperature: 25.500C
"Acceleration (m/s^2): (-1.186,0.329,-9.456)"
"Magnetometer (gauss): (0.969,-0.100,0.422)"
"Gyroscope (degrees/sec): (2.870,8.059,3.448)"
Temperature: 25.500C
"Acceleration (m/s^2): (-1.268,0.374,-9.607)"
"Magnetometer (gauss): (0.969,-0.100,0.425)"
"Gyroscope (degrees/sec): (5.031,8.312,1.969)"
Temperature: 25.500C
"Acceleration (m/s^2): (-1.241,0.431,-9.647)"
"Magnetometer (gauss): (0.975,-0.093,0.425)"
"Gyroscope (degrees/sec): (5.941,8.111,2.188)"
Temperature: 25.500C
"Acceleration (m/s^2): (-1.254,0.483,-9.748)"
"Magnetometer (gauss): (0.975,-0.093,0.425)"
"Gyroscope (degrees/sec): (6.851,7.193,2.328)"
Temperature: 25.500C
"Acceleration (m/s^2): (-1.230,0.553,-9.773)"
"Magnetometer (gauss): (0.975,-0.093,0.425)"
"Gyroscope (degrees/sec): (7.560,6.239,2.424)"
Temperature: 25.500C
"Acceleration (m/s^2): (-1.222,0.575,-9.855)"
"Magnetometer (gauss): (0.975,-0.093,0.425)"
"Gyroscope (degrees/sec): (7.814,5.303,2.258)"
Temperature: 25.500C
"Acceleration (m/s^2): (-1.155,0.632,-9.890)"
"Magnetometer (gauss): (0.975,-0.093,0.425)"
"Gyroscope (degrees/sec): (8.173,4.655,1.934)"
Temperature: 25.500C
"Acceleration (m/s^2): (-1.108,0.646,-9.954)"
"Magnetometer (gauss): (0.975,-0.093,0.425)"
"Gyroscope (degrees/sec): (8.190,4.279,1.776)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.078,0.693,-10.026)"
"Magnetometer (gauss): (0.971,-0.109,0.422)"
"Gyroscope (degrees/sec): (7.945,4.147,1.365)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.044,0.706,-10.065)"
"Magnetometer (gauss): (0.971,-0.109,0.422)"
"Gyroscope (degrees/sec): (8.689,2.826,0.254)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.025,0.736,-10.076)"
"Magnetometer (gauss): (0.971,-0.109,0.422)"
"Gyroscope (degrees/sec): (7.543,2.870,0.945)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.981,0.752,-10.120)"
"Magnetometer (gauss): (0.971,-0.109,0.422)"
"Gyroscope (degrees/sec): (6.501,2.643,0.796)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.945,0.772,-10.083)"
"Magnetometer (gauss): (0.971,-0.109,0.422)"
"Gyroscope (degrees/sec): (5.731,2.538,0.490)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.921,0.628,-10.101)"
"Magnetometer (gauss): (0.971,-0.109,0.422)"
"Gyroscope (degrees/sec): (5.241,2.406,0.184)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.927,0.769,-10.077)"
"Magnetometer (gauss): (0.971,-0.105,0.412)"
"Gyroscope (degrees/sec): (4.498,2.144,-0.096)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.888,0.765,-10.084)"
"Magnetometer (gauss): (0.971,-0.105,0.412)"
"Gyroscope (degrees/sec): (3.763,2.179,-0.385)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.871,0.756,-10.020)"
"Magnetometer (gauss): (0.971,-0.105,0.412)"
"Gyroscope (degrees/sec): (3.579,2.118,-1.050)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.849,0.739,-10.022)"
"Magnetometer (gauss): (0.971,-0.105,0.412)"
"Gyroscope (degrees/sec): (3.045,1.531,-1.374)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.854,0.722,-10.019)"
"Magnetometer (gauss): (0.971,-0.105,0.412)"
"Gyroscope (degrees/sec): (2.713,1.391,-1.680)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.866,0.723,-9.979)"
"Magnetometer (gauss): (0.971,-0.105,0.412)"
"Gyroscope (degrees/sec): (2.205,1.251,-2.170)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.846,0.706,-9.961)"
"Magnetometer (gauss): (0.967,-0.102,0.420)"
"Gyroscope (degrees/sec): (2.205,1.435,-2.695)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.897,0.672,-9.932)"
"Magnetometer (gauss): (0.967,-0.102,0.420)"
"Gyroscope (degrees/sec): (1.995,1.680,-3.176)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.909,0.646,-9.861)"
"Magnetometer (gauss): (0.967,-0.102,0.420)"
"Gyroscope (degrees/sec): (1.295,2.083,-3.430)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.945,0.645,-9.861)"
"Magnetometer (gauss): (0.967,-0.102,0.420)"
"Gyroscope (degrees/sec): (1.094,1.986,-3.693)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.916,0.610,-9.848)"
"Magnetometer (gauss): (0.967,-0.102,0.420)"
"Gyroscope (degrees/sec): (0.586,2.266,-3.955)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.940,0.632,-9.907)"
"Magnetometer (gauss): (0.967,-0.102,0.420)"
"Gyroscope (degrees/sec): (0.525,2.319,-4.445)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.968,0.633,-9.852)"
"Magnetometer (gauss): (0.967,-0.102,0.420)"
"Gyroscope (degrees/sec): (0.315,2.336,-4.760)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.033,0.644,-9.912)"
"Magnetometer (gauss): (0.971,-0.097,0.412)"
"Gyroscope (degrees/sec): (-0.201,2.179,-5.093)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.039,0.629,-9.907)"
"Magnetometer (gauss): (0.971,-0.097,0.412)"
"Gyroscope (degrees/sec): (-0.438,1.943,-5.600)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.089,0.588,-9.907)"
"Magnetometer (gauss): (0.971,-0.097,0.412)"
"Gyroscope (degrees/sec): (-0.761,1.838,-5.871)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.105,0.593,-9.880)"
"Magnetometer (gauss): (0.971,-0.097,0.412)"
"Gyroscope (degrees/sec): (-1.050,1.400,-6.221)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.105,0.574,-9.919)"
"Magnetometer (gauss): (0.971,-0.097,0.412)"
"Gyroscope (degrees/sec): (-1.418,0.744,-6.423)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.100,0.578,-9.915)"
"Magnetometer (gauss): (0.971,-0.097,0.412)"
"Gyroscope (degrees/sec): (-1.584,0.849,-6.423)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.126,0.558,-9.916)"
"Magnetometer (gauss): (0.973,-0.093,0.413)"
"Gyroscope (degrees/sec): (-1.768,0.446,-6.449)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.119,0.549,-9.964)"
"Magnetometer (gauss): (0.973,-0.093,0.413)"
"Gyroscope (degrees/sec): (-2.196,0.131,-6.458)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.151,0.540,-9.916)"
"Magnetometer (gauss): (0.973,-0.093,0.413)"
"Gyroscope (degrees/sec): (-2.056,-0.569,-6.396)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.150,0.497,-9.925)"
"Magnetometer (gauss): (0.973,-0.093,0.413)"
"Gyroscope (degrees/sec): (-2.135,-1.015,-6.335)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.149,0.492,-9.911)"
"Magnetometer (gauss): (0.973,-0.093,0.413)"
"Gyroscope (degrees/sec): (-2.389,-1.488,-6.169)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.085,0.466,-9.900)"
"Magnetometer (gauss): (0.973,-0.093,0.413)"
"Gyroscope (degrees/sec): (-2.546,-1.846,-6.046)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.107,0.453,-9.937)"
"Magnetometer (gauss): (0.963,-0.114,0.414)"
"Gyroscope (degrees/sec): (-2.713,-2.161,-5.696)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.109,0.441,-9.884)"
"Magnetometer (gauss): (0.963,-0.114,0.414)"
"Gyroscope (degrees/sec): (-2.835,-2.328,-5.303)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.041,0.438,-9.879)"
"Magnetometer (gauss): (0.963,-0.114,0.414)"
"Gyroscope (degrees/sec): (-2.704,-2.485,-4.716)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.038,0.449,-9.804)"
"Magnetometer (gauss): (0.963,-0.114,0.414)"
"Gyroscope (degrees/sec): (-3.019,-2.739,-4.270)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.964,0.421,-9.814)"
"Magnetometer (gauss): (0.963,-0.114,0.414)"
"Gyroscope (degrees/sec): (-2.931,-2.590,-3.640)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.934,0.409,-9.801)"
"Magnetometer (gauss): (0.963,-0.114,0.414)"
"Gyroscope (degrees/sec): (-3.098,-2.363,-3.273)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.872,0.378,-9.746)"
"Magnetometer (gauss): (0.963,-0.114,0.414)"
"Gyroscope (degrees/sec): (-3.316,-1.960,-2.958)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.879,0.357,-9.690)"
"Magnetometer (gauss): (0.964,-0.110,0.423)"
"Gyroscope (degrees/sec): (-3.544,-1.190,-2.459)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.861,0.342,-9.700)"
"Magnetometer (gauss): (0.964,-0.110,0.423)"
"Gyroscope (degrees/sec): (-3.019,-0.543,-2.284)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.890,0.316,-9.688)"
"Magnetometer (gauss): (0.964,-0.110,0.423)"
"Gyroscope (degrees/sec): (-2.940,-0.184,-1.916)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.929,0.320,-9.690)"
"Magnetometer (gauss): (0.964,-0.110,0.423)"
"Gyroscope (degrees/sec): (-2.354,1.120,-1.820)"
Temperature: 26.500C
"Acceleration (m/s^2): (-0.998,0.346,-9.708)"
"Magnetometer (gauss): (0.964,-0.110,0.423)"
"Gyroscope (degrees/sec): (-1.453,1.645,-1.759)"
Temperature: 26.500C
"Acceleration (m/s^2): (-1.087,0.363,-9.746)"
"Magnetometer (gauss): (0.964,-0.110,0.423)"
