"Acceleration (m/s^2): (-0.535,0.109,-10.140)"
"Magnetometer (gauss): (1.034,-0.087,0.422)"
"Gyroscope (degrees/sec): (5.241,-69.204,286.676)"
Temperature: 23.500C
"Acceleration (m/s^2): (-1.551,0.347,-12.441)"
"Magnetometer (gauss): (1.034,-0.087,0.422)"
"Gyroscope (degrees/sec): (-119.035,-30.511,238.735)"
Temperature: 23.500C
"Acceleration (m/s^2): (-2.808,0.853,-16.941)"
"Magnetometer (gauss): (1.034,-0.087,0.422)"
"Gyroscope (degrees/sec): (49.796,25.428,34.921)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.401,0.020,-9.747)"
"Magnetometer (gauss): (1.034,-0.087,0.422)"
"Gyroscope (degrees/sec): (-65.678,-22.698,86.074)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.419,0.019,-9.824)"
"Magnetometer (gauss): (1.034,-0.087,0.422)"
"Gyroscope (degrees/sec): (1.943,-0.858,8.829)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.435,0.053,-9.816)"
"Magnetometer (gauss): (1.034,-0.087,0.422)"
"Gyroscope (degrees/sec): (5.968,0.639,-2.205)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.416,0.033,-9.794)"
"Magnetometer (gauss): (1.033,-0.085,0.428)"
"Gyroscope (degrees/sec): (5.985,1.068,-2.975)"
Temperature: 23.500C
"Acceleration (m/s^2): (-0.467,0.028,-9.839)"
"Magnetometer (gauss): (1.033,-0.085,0.428)"
"Gyroscope (degrees/sec): (5.565,1.190,-2.791)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.605,-0.005,-9.819)"
"Magnetometer (gauss): (1.033,-0.085,0.428)"
"Gyroscope (degrees/sec): (5.198,1.505,-2.748)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.487,-0.005,-9.821)"
"Magnetometer (gauss): (1.033,-0.085,0.428)"
"Gyroscope (degrees/sec): (4.463,1.803,-2.765)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.498,-0.031,-9.830)"
"Magnetometer (gauss): (1.033,-0.085,0.428)"
"Gyroscope (degrees/sec): (4.218,1.838,-2.433)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.500,-0.037,-9.811)"
"Magnetometer (gauss): (1.033,-0.085,0.428)"
"Gyroscope (degrees/sec): (3.763,2.196,-2.048)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.548,-0.032,-9.818)"
"Magnetometer (gauss): (1.033,-0.085,0.428)"
"Gyroscope (degrees/sec): (3.649,1.925,-2.188)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.529,-0.028,-9.913)"
"Magnetometer (gauss): (1.037,-0.092,0.427)"
"Gyroscope (degrees/sec): (4.699,0.788,-2.398)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.526,-0.014,-9.875)"
"Magnetometer (gauss): (1.037,-0.092,0.427)"
"Gyroscope (degrees/sec): (3.168,1.934,-2.074)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.514,-0.036,-9.873)"
"Magnetometer (gauss): (1.037,-0.092,0.427)"
"Gyroscope (degrees/sec): (2.520,1.601,-1.873)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.520,-0.061,-9.826)"
"Magnetometer (gauss): (1.037,-0.092,0.427)"
"Gyroscope (degrees/sec): (2.380,1.278,-1.671)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.508,-0.038,-9.872)"
"Magnetometer (gauss): (1.037,-0.092,0.427)"
"Gyroscope (degrees/sec): (2.389,1.120,-1.706)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.510,0.001,-9.843)"
"Magnetometer (gauss): (1.037,-0.092,0.427)"
"Gyroscope (degrees/sec): (2.406,1.208,-1.400)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.551,0.008,-9.837)"
"Magnetometer (gauss): (1.041,-0.091,0.414)"
"Gyroscope (degrees/sec): (2.476,0.945,-1.391)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.482,0.016,-9.785)"
"Magnetometer (gauss): (1.041,-0.091,0.414)"
"Gyroscope (degrees/sec): (2.293,0.901,-1.216)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.510,0.018,-9.758)"
"Magnetometer (gauss): (1.041,-0.091,0.414)"
"Gyroscope (degrees/sec): (2.441,0.840,-1.304)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.499,0.010,-9.744)"
"Magnetometer (gauss): (1.041,-0.091,0.414)"
"Gyroscope (degrees/sec): (2.214,0.683,-1.269)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.503,-0.022,-9.726)"
"Magnetometer (gauss): (1.041,-0.091,0.414)"
"Gyroscope (degrees/sec): (2.581,0.735,-1.418)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.481,0.016,-9.720)"
"Magnetometer (gauss): (1.041,-0.091,0.414)"
"Gyroscope (degrees/sec): (2.485,0.928,-1.383)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.455,0.000,-9.695)"
"Magnetometer (gauss): (1.034,-0.090,0.417)"
"Gyroscope (degrees/sec): (2.476,0.998,-1.601)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.429,0.028,-9.679)"
"Magnetometer (gauss): (1.034,-0.090,0.417)"
"Gyroscope (degrees/sec): (2.398,0.858,-1.575)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.423,0.002,-9.659)"
"Magnetometer (gauss): (1.034,-0.090,0.417)"
"Gyroscope (degrees/sec): (2.730,1.059,-1.619)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.415,-0.001,-9.616)"
"Magnetometer (gauss): (1.034,-0.090,0.417)"
"Gyroscope (degrees/sec): (2.975,1.654,-1.803)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.419,0.004,-9.668)"
"Magnetometer (gauss): (1.034,-0.090,0.417)"
"Gyroscope (degrees/sec): (3.071,1.969,-1.916)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.426,-0.010,-9.730)"
"Magnetometer (gauss): (1.034,-0.090,0.417)"
"Gyroscope (degrees/sec): (2.966,2.511,-1.951)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.467,0.028,-9.765)"
"Magnetometer (gauss): (1.044,-0.091,0.422)"
"Gyroscope (degrees/sec): (3.036,2.809,-1.873)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.487,0.041,-9.800)"
"Magnetometer (gauss): (1.044,-0.091,0.422)"
"Gyroscope (degrees/sec): (3.281,2.748,-2.074)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.504,0.052,-9.813)"
"Magnetometer (gauss): (1.044,-0.091,0.422)"
"Gyroscope (degrees/sec): (3.386,3.010,-2.065)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.495,0.051,-9.875)"
"Magnetometer (gauss): (1.044,-0.091,0.422)"
"Gyroscope (degrees/sec): (3.308,2.905,-2.144)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.477,0.049,-9.939)"
"Magnetometer (gauss): (1.044,-0.091,0.422)"
"Gyroscope (degrees/sec): (3.640,2.879,-2.284)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.522,0.062,-9.954)"
"Magnetometer (gauss): (1.044,-0.091,0.422)"
"Gyroscope (degrees/sec): (3.395,2.590,-2.275)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.514,0.085,-9.949)"
"Magnetometer (gauss): (1.029,-0.088,0.424)"
"Gyroscope (degrees/sec): (3.351,2.546,-2.240)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.535,0.096,-9.964)"
"Magnetometer (gauss): (1.029,-0.088,0.424)"
"Gyroscope (degrees/sec): (3.229,1.986,-2.354)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.548,0.124,-10.015)"
"Magnetometer (gauss): (1.029,-0.088,0.424)"
"Gyroscope (degrees/sec): (2.853,1.549,-2.310)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.538,0.143,-9.980)"
"Magnetometer (gauss): (1.029,-0.088,0.424)"
"Gyroscope (degrees/sec): (1.916,1.400,-2.590)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.483,0.160,-9.992)"
"Magnetometer (gauss): (1.029,-0.088,0.424)"
"Gyroscope (degrees/sec): (1.356,0.875,-2.538)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.488,0.178,-10.106)"
"Magnetometer (gauss): (1.029,-0.088,0.424)"
"Gyroscope (degrees/sec): (0.858,0.193,-2.861)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.474,0.178,-9.925)"
"Magnetometer (gauss): (1.032,-0.093,0.417)"
"Gyroscope (degrees/sec): (0.105,-0.210,-2.853)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.423,0.148,-9.897)"
"Magnetometer (gauss): (1.032,-0.093,0.417)"
"Gyroscope (degrees/sec): (-0.376,-0.359,-2.896)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.374,0.156,-9.681)"
"Magnetometer (gauss): (1.032,-0.093,0.417)"
"Gyroscope (degrees/sec): (-1.339,-0.306,-3.141)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.375,0.105,-9.771)"
"Magnetometer (gauss): (1.032,-0.093,0.417)"
"Gyroscope (degrees/sec): (-1.505,-0.210,-3.509)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.343,0.102,-9.746)"
"Magnetometer (gauss): (1.032,-0.093,0.417)"
"Gyroscope (degrees/sec): (-1.899,-0.035,-3.614)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.328,0.060,-9.711)"
"Magnetometer (gauss): (1.032,-0.093,0.417)"
"Gyroscope (degrees/sec): (-2.144,0.508,-3.946)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.317,0.043,-9.694)"
"Magnetometer (gauss): (1.032,-0.093,0.417)"
"Gyroscope (degrees/sec): (-2.266,0.954,-4.104)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.384,-0.017,-9.665)"
"Magnetometer (gauss): (1.035,-0.095,0.424)"
"Gyroscope (degrees/sec): (-2.100,1.461,-4.638)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.407,0.002,-9.689)"
"Magnetometer (gauss): (1.035,-0.095,0.424)"
"Gyroscope (degrees/sec): (-1.234,1.610,-4.533)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.502,0.005,-9.689)"
"Magnetometer (gauss): (1.035,-0.095,0.424)"
"Gyroscope (degrees/sec): (-0.604,1.313,-4.533)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.470,0.012,-9.735)"
"Magnetometer (gauss): (1.035,-0.095,0.424)"
"Gyroscope (degrees/sec): (0.411,0.989,-4.323)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.319,-0.004,-9.770)"
"Magnetometer (gauss): (1.035,-0.095,0.424)"
"Gyroscope (degrees/sec): (0.385,0.858,-4.016)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.490,0.145,-9.717)"
"Magnetometer (gauss): (1.035,-0.095,0.424)"
"Gyroscope (degrees/sec): (0.989,0.814,-3.780)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.488,0.001,-9.772)"
"Magnetometer (gauss): (1.039,-0.084,0.424)"
"Gyroscope (degrees/sec): (1.663,0.543,-3.106)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.511,0.007,-9.792)"
"Magnetometer (gauss): (1.039,-0.084,0.424)"
"Gyroscope (degrees/sec): (1.908,0.595,-2.573)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.505,0.025,-9.756)"
"Magnetometer (gauss): (1.039,-0.084,0.424)"
"Gyroscope (degrees/sec): (2.144,1.243,-1.759)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.482,0.030,-9.714)"
"Magnetometer (gauss): (1.039,-0.084,0.424)"
"Gyroscope (degrees/sec): (2.013,1.610,-1.085)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.473,0.023,-9.693)"
"Magnetometer (gauss): (1.039,-0.084,0.424)"
"Gyroscope (degrees/sec): (2.188,1.881,-0.289)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.476,0.060,-9.703)"
"Magnetometer (gauss): (1.039,-0.084,0.424)"
"Gyroscope (degrees/sec): (2.809,2.109,0.219)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.490,0.020,-9.758)"
"Magnetometer (gauss): (1.035,-0.100,0.428)"
"Gyroscope (degrees/sec): (3.054,2.135,0.429)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.502,0.008,-9.797)"
"Magnetometer (gauss): (1.035,-0.100,0.428)"
"Gyroscope (degrees/sec): (3.640,2.109,0.508)"
Temperature: 24.500C
"Acceleration (m/s^2): (-0.513,0.002,-9.814)"
"Magnetometer (gauss): (1.035,-0.100,0.428)"
"Gyroscope (degrees/sec): (3.806,1.986,0.403)"
Temperature: 24.500C
